;Org. nr (Standardfält);Företagsnamn;Kontoansvarig
102;5560614462;Moelven Edanesågen Aktiebolag;Peter Bengtsson
103;5560627613;H. Folke Sandelin Aktiebolag;Filip Mbanza
104;5560630559;Skandinaviska Buss & Truck AB;Peter Bengtsson
105;5560635244;Lesjöfors Fjädrar Aktiebolag;Peter Bengtsson
106;5560659590;Kongsberg Power Products Systems AB - Huvudkontor och Fabrik;Peter Bengtsson
107;5560688557;Nordhydraulic AB;Anton Fellbrink
108;5560689738;Svensk Cater AB;Emil Fransson
109;5560709429;Oxelö Energi Aktiebolag;Filip Mbanza
110;556071-1060;Seco Tools Aktiebolag;Peter Bengtsson
111;5560718446;Bröderna Wallströms Tryckeriaktiebolag;Anton Fellbrink
112;556073-3114;Werksta Sundsvall;Anton Fellbrink
113;5560733114;Werksta Sweden AB - Örebro Bettorp;Peter Bengtsson
114;5560743311;UMV Coating Systems Aktiebolag;Peter Bengtsson
115;5560757287;One Nordic AB;Anton Fellbrink
116;5560757287;One Nordic AB;Filip Mbanza
117;5560760737;Stanley Security Sverige AB;Emil Fransson
118;5560760836;Engströms Bil AB;Filip Mbanza
119;5560766403;Asfaltsgruppen Öst AB;Filip Mbanza
120;5560769175;Press Kogyo Sweden AB;Peter Bengtsson
121;5560786500;Euromaster Aktiebolag;Anton Fellbrink
122;5560786682;Aktiebolaget Somas, Ventiler;Peter Bengtsson
123;5560786708;Pågen Aktiebolag;Peter Bengtsson
124;5560795030;Öhlins Racing Aktiebolag;Emil Fransson
125;5560796871;Spendrups Bryggeriaktiebolag - Bryggeri Grängesberg;Peter Bengtsson
126;556080-0210;Element Metech AB;Filip Mbanza
127;5560800210;Element Metech AB - Mätinstrument;Filip Mbanza
128;5560801937;Titanx Engine Cooling AB;Filip Mbanza
129;5560801937;TitanX Engine Cooling AB;Peter Bengtsson
130;5560813031;Swerock Aktiebolag;Filip Mbanza
131;556084-6783;Coor Service Management Östersund;Anton Fellbrink
132;5560840976;Scania CV Aktiebolag;Emil Fransson
133;5560895665;NLF, Nora-Lindefrakt Aktiebolag;Peter Bengtsson
134;5560906033;Zenita Aktiebolag;Filip Mbanza
135;5560909037;Skanska Rental AB;Anton Fellbrink
136;5560910431;Bengt Dahlgren Linköping AB;Filip Mbanza
137;5560925314;LAPP Miltronic AB;Filip Mbanza
138;5560925314;LAPP Muller;Filip Mbanza
139;5560967530;Nordic Truck Bodies Service AB;Peter Bengtsson
140;5560970187;Element Materials Technology AB;Filip Mbanza
141;5560999202;Peab Sverige AB;Peter Bengtsson
142;5560999228;Fergin Sverige AB;Filip Mbanza
143;556100-1008;Elektroautomatik i Sverige AB;Emil Fransson
144;5561030437;Dhl Freight (Sweden) AB;Filip Mbanza
145;5561032763;Polyamp Aktiebolag;Filip Mbanza
146;5561034181;TEKO - Sveriges Textil och Modeföretag Service AB;Emil Fransson
147;556104-3539;Cramo AB - Nkpg;Filip Mbanza
148;5561043265;Energiföretagen Sverige - Swedenergy - AB - Region Väst;Peter Bengtsson
149;5561043539;Cramo AB;Anton Fellbrink
150;5561043539;Cramo AB;Emil Fransson
151;5561079079;Lenze AB;Filip Mbanza
152;556108-6082;Securitas Sverige AB;Anton Fellbrink
153;5561081919;Cytiva Sweden AB;Emil Fransson
154;5561125690;Bilia AB;Emil Fransson
155;5561129742;Siba Aktiebolag;Anton Fellbrink
156;5561135848;Fleximark Aktiebolag;Filip Mbanza
157;5561142810;Veolia Recycling Solutions Sweden AB;Anton Fellbrink
158;5561149138;Mondi Dynäs Aktiebolag;Anton Fellbrink
159;5561156372;Lundgrens El-installationer Vikbolandet-Norrköping Aktiebolag;Filip Mbanza
160;5561166439;Burkert Sweden AB - Försäljning & Teknisk Support;Emil Fransson
161;5561184614;Moelven Dalaträ Aktiebolag;Peter Bengtsson
162;5561206474;AFRY AB Sundsvall;Anton Fellbrink
163;5561206474;AFRY AB;Peter Bengtsson
164;5561206474;AFRY AB - Linköping;Filip Mbanza
165;5561206474;AFRY AB - Stockholm;Emil Fransson
166;5561206474;AFRY - Jkpg;Filip Mbanza
167;5561226506;Car-O-Liner Commercial AB;Peter Bengtsson
168;5561239210;KNAPP AB;Peter Bengtsson
169;5561312223;CAB Group AB;Peter Bengtsson
170;5561331637;Smiling Faces AB;Emil Fransson
171;5561342204;Beyond Gravity Sweden AB;Filip Mbanza
172;5561342964;Guldfågeln Aktiebolag;Peter Bengtsson
173;556138-3646;Schneider Electric Distribution Centre AB;Peter Bengtsson
174;5561389668;Miele Aktiebolag;Emil Fransson
175;556139-3884;Elajo El & Energiteknik AB - Lkpg;Filip Mbanza
176;5561393884;Elajo El & Energiteknik AB;Peter Bengtsson
177;5561394411;EWAB Engineering Aktiebolag;Filip Mbanza
178;5561422394;Roslagsvatten Aktiebolag;Emil Fransson
179;5561475897;Fujitsu Sweden AB;Anton Fellbrink
180;5561509638;Mellannorrlands Transport Aktiebolag;Anton Fellbrink
181;5561532176;Verisure Sverige AB;Filip Mbanza
182;5561538389;ENA Energi AB;Emil Fransson
183;556158-1249;AFRY - Nkpg;Filip Mbanza
184;5561604108;Systemair Aktiebolag;Peter Bengtsson
185;5561679720;Eways AB;Emil Fransson
186;5561723593;AB Byggbeslag Lås & Säkerhet;Anton Fellbrink
187;5561723593;AB Byggbeslag Lås & Säkerhet - Sätra;Emil Fransson
188;5561725796;Rörgruppen AB;Emil Fransson
189;5561733360;Stora Enso AB;Peter Bengtsson
190;5561769513;ebm-papst AB;Emil Fransson
191;5561790717;AGES Casting Unnaryd AB + Koncernbolag;Peter Bengtsson
192;5561808675;Lann Industries Sweden AB;Peter Bengtsson
193;556185-6385;Feelgood Företagshälsa Sundsvall;Anton Fellbrink
194;5561877795;Tiger of Sweden Aktiebolag;Emil Fransson
195;5561901637;Lambertsson Sverige AB;Emil Fransson
196;5561906834;Tetra Pak Packaging Material Sunne Aktiebolag;Peter Bengtsson
197;5561906834;Tetra Pak Packaging Material Sunne Aktiebolag;Peter Bengtsson
198;5561924555;Vtg Entreprenad AB;Anton Fellbrink
199;5561945733;ArcelorMittal Construction Sverige AB;Peter Bengtsson
200;5561962308;El & PC-Installationer i Örebro Aktiebolag;Peter Bengtsson
201;5561974188;Bravida AB Sundsvall;Anton Fellbrink
202;5561974188;Bravida Sverige AB;Filip Mbanza
203;5561974188;Bravida Sverige AB;Emil Fransson
204;5561974188;Bravida Sverige AB;Emil Fransson
205;556198-2652;SSI Schäfer System International AB;Filip Mbanza
206;556198-2868;Toyota Material Handling Manufacturing Sweden AB;Filip Mbanza
207;5561994533;Kinnarps;Filip Mbanza
208;5562015262;Mekka Traffic Aktiebolag;Peter Bengtsson
209;5562032259;Schlötter Svenska Aktiebolag;Filip Mbanza
210;5562041904;BAE Systems Bofors AB;Peter Bengtsson
211;5562041904;Bae Systems Bofors AB;Peter Bengtsson
212;5562061324;Hydac AB;Emil Fransson
213;5562065119;ProfilGruppen Extrusions AB;Peter Bengtsson
214;5562074376;Harting Aktiebolag;Emil Fransson
215;5562075225;Servicoating AB;Filip Mbanza
216;5562080936;AGES Hörle AB;Peter Bengtsson
217;556209-9001;INFICON AB;Filip Mbanza
218;5562092634;AQ Components Mjällom AB;Anton Fellbrink
219;5562099316;CJ Automotive AB;Peter Bengtsson
220;5562101567;Defa AB;Emil Fransson
221;5562104124;Atteviks Bil AB;Peter Bengtsson
222;5562106079;JL Nybergs Mekaniska Aktiebolag;Anton Fellbrink
